330,"VIA BOLGHERA","(11.12895 46.058777, 11.128755 46.058457)"
340,"VIALE N. BOLOGNINI","(11.13161 46.061698, 11.132032 46.061393)"
8001,"VIA DELLA BELINA","(11.063169 46.07228, 11.063214 46.072273, 11.063267 46.072258, 11.063317 46.072235, 11.063347 46.072208, 11.063359 46.072171, 11.063358 46.07214, 11.063348 46.072089, 11.063321 46.072, 11.063311 46.071902, 11.063312 46.071825)"
130,"PIAZZETTA ANFITEATRO","(11.125237 46.069206, 11.125307 46.069097)"
8750,"VIA DELLA CROCE","(11.111604 46.041782, 11.111673 46.04188, 11.1119 46.042195)"
1700,"VIA G. MANCI","(11.122588 46.069867, 11.122511 46.069857)"
2490,"VIA A. POZZO","(11.11976 46.070094, 11.119862 46.069657, 11.119891 46.06955)"
2990,"PIAZZA S. MARIA MAGGIORE","(11.120013 46.068808, 11.120027 46.068686)"
1120,"VIA FERSINA","(11.125581 46.041253, 11.125544 46.040804, 11.126136 46.040811, 11.127484 46.040808)"
2180,"VIA P. OSS MAZZURANA","(11.122537 46.069053, 11.122505 46.069189, 11.122484 46.069364, 11.1225 46.06958, 11.122544 46.069715, 11.122588 46.069867)"
900,"VIA A. DEGASPERI","(11.123631 46.050877, 11.123603 46.050886, 11.123568 46.050894, 11.123532 46.050897, 11.1235 46.050895, 11.123466 46.050889, 11.123437 46.05088, 11.123407 46.050868, 11.123385 46.050852, 11.123364 46.05083, 11.123347 46.050808)"
130,"PIAZZETTA ANFITEATRO","(11.125307 46.069097, 11.12539 46.069203, 11.125474 46.069201, 11.125478 46.069224, 11.125446 46.069294, 11.125229 46.069285)"
6453,"VIA DI PRAMORGHEN","(11.138015 46.111284, 11.138015 46.111284)"
8413,"VIA PER CORTESANO","(11.127886 46.127794, 11.127828 46.127611, 11.127622 46.127057, 11.127431 46.126565, 11.127317 46.12613, 11.127306 46.12609, 11.127309 46.126055, 11.127321 46.12602, 11.127358 46.125977, 11.127395 46.12595, 11.127439 46.125935, 11.127491 46.125929, 11.12755 46.125933, 11.128056 46.125997, 11.128114 46.126)"
2810,"VICOLO SAN MARCO","(11.125849 46.069055, 11.125839 46.069091, 11.125818 46.069173, 11.12581 46.069191, 11.12572 46.069395, 11.125614 46.069541, 11.12558 46.069627)"
8497,"VIA AL PONTAT","(11.129247 46.128516, 11.129343 46.128563, 11.129366 46.128596, 11.129381 46.128632, 11.129432 46.128956, 11.129411 46.129008)"
3502,"VIA DEI GIARDINI","(11.129895 46.06817, 11.130082 46.068117, 11.130275 46.068077, 11.130499 46.068044, 11.130701 46.068019, 11.130924 46.06798, 11.131002 46.067941, 11.131118 46.067861)"
670,"VIA DELLE CAVE","(11.131915 46.066593, 11.132015 46.066712, 11.132228 46.066677, 11.132491 46.066645, 11.132547 46.066645, 11.132624 46.066644, 11.132688 46.066663)"
6290,"VIA DEGLI OLIVI","(11.13451 46.073718, 11.134505 46.073856, 11.13445 46.074016, 11.134423 46.074093, 11.134363 46.074427, 11.134344 46.074532, 11.134366 46.074705, 11.134408 46.074875, 11.13443 46.074903, 11.134454 46.074917, 11.134481 46.074928, 11.134515 46.074936)"
7515,"VIA ALLE VOLPARE","(11.163403 46.070343, 11.163571 46.070228, 11.163642 46.070177, 11.163729 46.070108, 11.163854 46.070015, 11.164041 46.069832, 11.16407 46.069822, 11.164188 46.069808, 11.164321 46.069778, 11.164407 46.069752)"
2460,"VIA DELLA PONTARA","(11.126192 46.073657, 11.126252 46.073633, 11.126301 46.073623, 11.126372 46.073626, 11.126601 46.073649, 11.126652 46.073648, 11.126699 46.073634, 11.126728 46.073606, 11.127137 46.073139, 11.127168 46.073072, 11.127174 46.073017, 11.127164 46.072973, 11.12714 46.072939, 11.127101 46.072911, 11.127029 46.072872, 11.126994 46.072839, 11.126966 46.072801, 11.126951 46.072764, 11.126955 46.072733, 11.12706 46.072408, 11.127096 46.07233, 11.127291 46.072003, 11.127299 46.071953, 11.12743 46.07178, 11.127581 46.071678)"
7263,"VIA DEL NESPOLAR","(11.153051 46.045595, 11.153012 46.0454, 11.153012 46.045349, 11.153036 46.045312)"
6453,"VIA DI PRAMORGHEN","(11.138015 46.111284, 11.138058 46.111376, 11.138088 46.11143, 11.138109 46.111453, 11.138144 46.111472, 11.138189 46.11149, 11.138332 46.111545, 11.138471 46.111592, 11.138665 46.111657)"
6453,"VIA DI PRAMORGHEN","(11.138015 46.111284, 11.137885 46.111474, 11.137879 46.111514, 11.137859 46.111558, 11.137834 46.111603, 11.137731 46.111706)"
6453,"VIA DI PRAMORGHEN","(11.137731 46.111706, 11.137861 46.111756, 11.137907 46.111788, 11.137998 46.11185, 11.138059 46.111897, 11.13812 46.11194, 11.138148 46.111966, 11.138175 46.112002, 11.138204 46.112043, 11.138251 46.112119, 11.138302 46.112192, 11.138333 46.112236, 11.138389 46.112289, 11.138429 46.112319, 11.13848 46.112345, 11.138518 46.112358, 11.138555 46.112365, 11.138596 46.11237, 11.138663 46.112369, 11.138708 46.112359, 11.138882 46.11227)"
6453,"VIA DI PRAMORGHEN","(11.137731 46.111706, 11.137681 46.111756, 11.137622 46.111831, 11.137587 46.111952, 11.137495 46.11227, 11.137313 46.112891, 11.137235 46.113082, 11.137222 46.113126, 11.137227 46.113175, 11.137253 46.113255, 11.137247 46.113284)"
7230,"VIA VALNIGRA","(11.144671 46.053174, 11.144692 46.053302, 11.144711 46.05342, 11.144732 46.053555, 11.144754 46.053672, 11.144771 46.053758, 11.144787 46.053864, 11.144807 46.054146)"
1355,"VIA H. GMEINER","(11.138306 46.058342, 11.138272 46.058357, 11.138243 46.058374, 11.138141 46.058463, 11.138053 46.058584, 11.13796 46.05872, 11.137913 46.058803, 11.137826 46.059007, 11.137807 46.059113, 11.137809 46.059188, 11.13782 46.059238, 11.13786 46.05934, 11.137901 46.059403, 11.137965 46.059475, 11.13814 46.059646, 11.138298 46.059801, 11.138379 46.059883, 11.138431 46.059958, 11.138463 46.060028, 11.138473 46.060057, 11.138485 46.060102, 11.138489 46.060182, 11.138439 46.060288, 11.138379 46.060409, 11.138352 46.060479, 11.138335 46.060544, 11.138311 46.060631, 11.138296 46.060691, 11.138229 46.060791, 11.138151 46.060891, 11.138099 46.060967, 11.138057 46.061068, 11.138018 46.061176, 11.137998 46.061246, 11.137965 46.061267, 11.137896 46.06128, 11.137835 46.06128, 11.137789 46.061275, 11.137761 46.061257, 11.137743 46.06122, 11.137635 46.060464, 11.137626 46.060393, 11.137619 46.060381, 11.137609 46.06037, 11.137594 46.060362, 11.137578 46.06036, 11.137559 46.060361, 11.137543 46.060366, 11.137532 46.060377, 11.137509 46.060409, 11.137478 46.060482, 11.137395 46.060734, 11.137379 46.06081, 11.137339 46.060948, 11.137309 46.061033, 11.137276 46.061083, 11.13722 46.06113, 11.13716 46.061178, 11.13711 46.061247, 11.137065 46.061382)"
7340,"LOCALITA' PASSO CIMIRLO","(11.1837 46.06836, 11.183627 46.06835, 11.183546 46.068358, 11.183438 46.068366, 11.18331 46.068367, 11.183225 46.068365, 11.183181 46.068357, 11.183144 46.068342, 11.183084 46.068296, 11.183068 46.068256, 11.183076 46.06821)"
8139,"VIA GIUSEPPE A. SLOP","(11.06686 46.089386, 11.066514 46.089657, 11.066089 46.089988, 11.065729 46.090257)"
7080,"VIA GALASSA","(11.144478 46.039075, 11.144315 46.039193, 11.144206 46.039315, 11.144154 46.039394, 11.14415 46.039416)"
8486,"VIA DEI FRAGARI","(11.133385 46.138937, 11.133404 46.13897, 11.1334 46.139032, 11.133373 46.139137, 11.133356 46.139227, 11.133271 46.139467)"
8503,"VIA DEL CESURET","(11.126723 46.13011, 11.126814 46.130001, 11.126931 46.129869, 11.127021 46.129709, 11.127059 46.129619, 11.12707 46.129547)"
2430,"VIA DI PIETRASTRETTA","(11.125433 46.076205, 11.125459 46.076204, 11.125484 46.076208, 11.125507 46.076214, 11.125528 46.076225, 11.125544 46.076238, 11.125555 46.076256, 11.125562 46.076283, 11.125575 46.076454, 11.125603 46.076863, 11.125619 46.077047, 11.12564 46.077114, 11.125655 46.077132)"
7010,"VIA ASIAGO","(11.136447 46.053345, 11.136498 46.05367)"
8510,"VIA DEL PRA DE L'AGNELA","(11.126723 46.13011, 11.126818 46.130105, 11.126914 46.130076, 11.127005 46.130028, 11.127241 46.129853, 11.127308 46.129812, 11.127417 46.129754, 11.127535 46.1297, 11.127979 46.129518, 11.128102 46.129457, 11.128159 46.129415, 11.12827 46.129313, 11.128564 46.129042, 11.128722 46.128945, 11.128965 46.128785, 11.129129 46.128673, 11.129192 46.128609, 11.129247 46.128516)"
8521,"SALITA AI SPIAZZI","(11.133917 46.124076, 11.133967 46.124039, 11.134014 46.123989, 11.134067 46.123861, 11.134149 46.123834)"
8421,"VIA SANTI PIETRO E PAOLO","(11.133917 46.124076, 11.133973 46.124333, 11.133972 46.124418, 11.133957 46.124463, 11.133928 46.124509, 11.1339 46.124604, 11.133888 46.124665, 11.133884 46.124816, 11.134189 46.12607, 11.13424 46.126236, 11.134358 46.126521, 11.134401 46.126606, 11.134452 46.126758, 11.134635 46.127866, 11.134704 46.12841, 11.134708 46.128482, 11.134705 46.128554, 11.134636 46.129052, 11.134614 46.129337, 11.134608 46.129458, 11.134631 46.129795, 11.134687 46.130014, 11.135077 46.130833)"
1470,"VIA DELLE LASTE","(11.133617 46.073603, 11.133713 46.073544, 11.133821 46.07349, 11.133909 46.073458, 11.133996 46.073435, 11.134047 46.073429, 11.134091 46.07343, 11.134123 46.073437, 11.134168 46.073459, 11.134193 46.07349, 11.134219 46.073606, 11.134244 46.073637, 11.134276 46.073655, 11.13447 46.073705)"
6470,"VIA PER L'OSSERVATORIO","(11.136583 46.070166, 11.136471 46.070363, 11.136424 46.070537, 11.136421 46.070688, 11.136429 46.071084, 11.136436 46.071127, 11.136461 46.071168)"
7210,"VIA TORRICELLE","(11.14681 46.042959, 11.147036 46.042872, 11.147139 46.042814, 11.147278 46.042611, 11.147434 46.042378, 11.147576 46.042146, 11.147599 46.042065, 11.147611 46.041664, 11.147625 46.041573, 11.147644 46.041474, 11.147673 46.041392, 11.147734 46.041266, 11.147781 46.041157)"
8482,"VIA DELLA FORNACE","(11.116619 46.127314, 11.116771 46.127361, 11.116797 46.127424, 11.116869 46.127675, 11.116983 46.128078)"
8466,"VICOLO DELLA ROGGIA","(11.117617 46.122607, 11.117812 46.12282, 11.117892 46.122782, 11.118089 46.122675)"
6450,"STRADA DI MONTEVACCINO","(11.143407 46.108396, 11.14339 46.108336)"
5790,"VIA NOCE","(11.109775 46.103032, 11.109725 46.103033)"
5790,"VIA NOCE","(11.109775 46.103032, 11.109529 46.103699)"
2495,"VIA A. PRANZELORES","(11.120102 46.085925, 11.119099 46.085652)"
3490,"P.ZZA ALESSANDRO VITTORIA","(11.123202 46.067321, 11.123293 46.066956)"
2430,"VIA DI PIETRASTRETTA","(11.125433 46.076205, 11.125634 46.075302)"
7315,"VIA MADONNINA","(11.157094 46.064929, 11.156955 46.064908, 11.156814 46.064888, 11.156703 46.064883)"
1400,"VIA DON GIUSEPPE GRAZIOLI","(11.127851 46.06726, 11.127236 46.067355, 11.126943 46.067405, 11.126731 46.067445)"
2470,"LARGO PORTA NUOVA","(11.126671 46.067471, 11.12663 46.067478, 11.126573 46.067477, 11.12652 46.067469)"
0,"","(11.171867 46.0825, 11.165079 46.08181, 11.163519 46.081641, 11.163035 46.08157, 11.16258 46.081479, 11.162174 46.081379, 11.161875 46.08129, 11.161681 46.081226, 11.161395 46.081119, 11.161118 46.081003, 11.160939 46.080921, 11.160677 46.080786, 11.160344 46.080594, 11.160185 46.080494, 11.159301 46.079899, 11.1591 46.079767, 11.158688 46.079514, 11.158477 46.079392, 11.158048 46.079157, 11.157606 46.078927, 11.157274 46.078767, 11.155792 46.078133, 11.155545 46.07803, 11.155174 46.077893)"
6428,"VIA PER VILLAMONTAGNA","(11.162857 46.084251, 11.163613 46.084848, 11.163733 46.084972, 11.163782 46.085066, 11.16381 46.085173, 11.163806 46.085268, 11.163778 46.085376, 11.163713 46.085471, 11.163625 46.085555, 11.163516 46.085624, 11.163439 46.085665, 11.163367 46.08569, 11.163225 46.085729, 11.163054 46.085763, 11.162704 46.085851, 11.162209 46.085968, 11.161749 46.086081, 11.161587 46.086118, 11.161489 46.086137, 11.161402 46.08615, 11.161277 46.086161, 11.161196 46.086159)"
8940,"VIA DI SANTA BRIGIDA","(11.10444 46.018527, 11.104481 46.018511, 11.104761 46.018449, 11.104826 46.01844)"
8415,"VIA CASTEL DI CORTESANO","(11.130354 46.124508, 11.130643 46.124665, 11.130709 46.124695, 11.13078 46.124708, 11.130861 46.12471, 11.131122 46.124665)"
1400,"VIA DON GIUSEPPE GRAZIOLI","(11.129191 46.066914, 11.129085 46.066952, 11.128812 46.067042, 11.128769 46.067056, 11.128748 46.067063, 11.128649 46.06709, 11.128426 46.067135, 11.128048 46.06722, 11.128012 46.067228)"
8415,"VIA CASTEL DI CORTESANO","(11.131122 46.124665, 11.131586 46.124584, 11.131735 46.124568, 11.131787 46.124567, 11.131863 46.124574, 11.131912 46.124587, 11.131968 46.124609, 11.132177 46.124713, 11.132197 46.124719, 11.132222 46.124722, 11.132247 46.12472, 11.132272 46.124715, 11.132417 46.124654, 11.132598 46.124637, 11.132632 46.124601, 11.13267 46.124528, 11.132689 46.124478, 11.132744 46.12427, 11.132836 46.124086, 11.13287 46.124006, 11.132971 46.123793)"
6400,"VIA ALLA VEDUTA","(11.146894 46.07597, 11.1474 46.075983, 11.147697 46.076017, 11.147869 46.076042, 11.148084 46.076099, 11.148235 46.076156, 11.149582 46.076701)"
0,"","(11.150816 46.075541, 11.150582 46.075455, 11.150372 46.075347, 11.150162 46.075208)"
7115,"VIA DELLA ZIVERANA","(11.155322 46.049935, 11.155368 46.049898, 11.155467 46.049837)"
6470,"VIA PER L'OSSERVATORIO","(11.136808 46.071751, 11.136635 46.071702, 11.136581 46.0717)"
8525,"STRADA DELLA FACHINA","(11.118292 46.116259, 11.118409 46.1163, 11.118499 46.116322, 11.118674 46.116332, 11.119091 46.11632, 11.119198 46.116336, 11.119274 46.116366, 11.119342 46.116397, 11.119383 46.116435, 11.119421 46.116521, 11.119439 46.116661, 11.119459 46.116763, 11.1195 46.116844, 11.119595 46.116969, 11.119735 46.117105, 11.11986 46.117201, 11.119903 46.117226, 11.119947 46.117225, 11.120033 46.117217, 11.120128 46.117215, 11.120199 46.117227, 11.120292 46.117254, 11.120411 46.117295, 11.120496 46.117311, 11.120606 46.117305, 11.120665 46.117292, 11.120749 46.117243, 11.120766 46.117193, 11.120779 46.117137, 11.120777 46.117071, 11.120763 46.117004, 11.120744 46.116933, 11.120719 46.116861, 11.120676 46.116774, 11.120653 46.116687, 11.120655 46.116629, 11.120694 46.116569, 11.12076 46.116528, 11.12081 46.116509, 11.120975 46.116464, 11.121061 46.116423, 11.121121 46.116386, 11.121216 46.116321, 11.121314 46.116235, 11.121384 46.11617, 11.121446 46.116132)"
5790,"VIA NOCE","(11.109725 46.103033, 11.109934 46.102368)"
6190,"VIA GREZONI","(11.146264 46.075398, 11.146374 46.075352, 11.146465 46.075323, 11.146604 46.075311, 11.146865 46.075313, 11.147101 46.07532, 11.147322 46.075331, 11.147447 46.075337, 11.147606 46.07534, 11.147865 46.075348, 11.148307 46.075363, 11.148638 46.075376)"
8462,"VIA DELLA GUERRA RUSTICA","(11.118255 46.122055, 11.118277 46.122095)"
8653,"STRADA DI VANEZE","(11.072647 46.050834, 11.072615 46.050857, 11.072595 46.050907, 11.072582 46.050979, 11.072565 46.051039, 11.072535 46.051106, 11.072502 46.051162, 11.072442 46.051236, 11.072363 46.051321, 11.072213 46.051454, 11.072079 46.051591, 11.071949 46.051753, 11.07181 46.051943, 11.071671 46.052139, 11.071588 46.052271, 11.07154 46.052358, 11.071465 46.052593, 11.071433 46.052697, 11.071401 46.052779, 11.071339 46.052882, 11.071175 46.053077, 11.071109 46.053144, 11.071047 46.05319, 11.071023 46.053204, 11.070989 46.053212, 11.070956 46.05321)"
8053,"STRADA DI VASON","(11.065825 46.04569, 11.065797 46.045672, 11.065754 46.045667, 11.065691 46.045677, 11.06477 46.045983, 11.064656 46.046029, 11.064551 46.046085, 11.064468 46.046145, 11.064016 46.046496, 11.063953 46.046562, 11.063925 46.046609, 11.063905 46.046682, 11.063883 46.046727, 11.063857 46.046756, 11.063835 46.046766, 11.063787 46.04677, 11.063762 46.046763, 11.063744 46.046752, 11.063728 46.046729, 11.063726 46.046706, 11.06374 46.046653, 11.063855 46.046313, 11.063959 46.045977, 11.063992 46.045909, 11.064216 46.045631, 11.064296 46.045522, 11.064353 46.045433, 11.064405 46.045318, 11.064433 46.045214, 11.064444 46.04511, 11.064446 46.04502, 11.064432 46.04489, 11.064379 46.044693, 11.064266 46.044407, 11.064239 46.044308, 11.064214 46.044187, 11.064183 46.043981, 11.064187 46.043859, 11.064235 46.043494, 11.064237 46.043399, 11.064214 46.043235, 11.064145 46.043014, 11.064139 46.042941, 11.064153 46.042866, 11.064177 46.042793, 11.064183 46.042759, 11.06418 46.042725, 11.064155 46.042694, 11.064122 46.042682, 11.064062 46.042674, 11.064035 46.042678, 11.063997 46.042693, 11.063969 46.042716, 11.063903 46.04305, 11.063852 46.043241, 11.063827 46.043318, 11.063776 46.043412, 11.063458 46.043922, 11.063372 46.044033, 11.063231 46.044187, 11.06314 46.044256, 11.06306 46.044298, 11.062929 46.044339, 11.062774 46.044362, 11.062617 46.044377, 11.062387 46.044391, 11.06193 46.044409, 11.061682 46.044424, 11.061465 46.044444, 11.061328 46.044464, 11.061239 46.044491, 11.061172 46.04453, 11.060972 46.044705, 11.060903 46.044742, 11.060874 46.044752, 11.060838 46.044756, 11.060809 46.044752, 11.060783 46.044743, 11.060749 46.044715)"
8480,"VIA AL CANON","(11.120296 46.121844, 11.120349 46.121834, 11.120598 46.121817, 11.120813 46.12181, 11.120862 46.121811)"
8504,"VIA DEI CIGOI","(11.127886 46.127794, 11.127937 46.127712, 11.128099 46.127357, 11.128169 46.12719, 11.128204 46.127153)"
8414,"VIA DEL PORFIDO","(11.127551 46.130816, 11.127976 46.131182, 11.128102 46.131296, 11.128146 46.13134, 11.128231 46.131433, 11.12831 46.131526, 11.128372 46.131606)"
6180,"VIA ALLE GEMELLE","(11.127756 46.08333, 11.127829 46.083216, 11.127842 46.083151, 11.127834 46.082896, 11.127835 46.082559, 11.127838 46.082447, 11.127841 46.082334, 11.127842 46.082282, 11.127843 46.082282, 11.127884 46.082285, 11.127926 46.082287, 11.12827 46.082323, 11.128317 46.082331, 11.128357 46.082349, 11.1284 46.082387, 11.128438 46.082431, 11.128454 46.08247, 11.12846 46.08252, 11.128457 46.082721, 11.128461 46.082862, 11.128486 46.082984, 11.128515 46.083068, 11.12853 46.083248)"
6310,"VIA PONTE ALTO","(11.146808 46.074023, 11.146604 46.074091, 11.146509 46.07412, 11.146375 46.074171, 11.146214 46.074232, 11.146049 46.074294)"
8475,"VIA DEL CAMANTOLIN","(11.117309 46.12453, 11.117412 46.124482, 11.117659 46.124431, 11.117701 46.124415, 11.117728 46.124392, 11.117749 46.124364, 11.117769 46.12431, 11.117793 46.124121, 11.117786 46.123995, 11.11777 46.123869, 11.117766 46.123794, 11.117779 46.12367, 11.11778 46.12357, 11.117815 46.123499, 11.117949 46.123267, 11.117975 46.123235, 11.11802 46.123189, 11.118079 46.123143, 11.118137 46.123103, 11.118178 46.12308, 11.118275 46.123041, 11.118356 46.123017, 11.118407 46.123007, 11.118587 46.123003, 11.118587 46.123003, 11.118613 46.123003, 11.118613 46.123003)"
8045,"VIA DEI SEGATI","(11.060909 46.071874, 11.061036 46.071958, 11.061174 46.072085, 11.061245 46.072178, 11.061275 46.072212, 11.06133 46.072233)"
7984,"VIA DELLE REGOLE","(11.134269 46.009679, 11.134325 46.009622, 11.13435 46.009576)"
3350,"CORSO 3 NOVEMBRE","(11.125425 46.060386, 11.125015 46.060191, 11.12498 46.060152, 11.124932 46.060103, 11.124978 46.060048)"
2900,"VIA R. DA SANSEVERINO","(11.111929 46.050012, 11.111826 46.050348, 11.111772 46.050589, 11.111723 46.050953, 11.11172 46.051279, 11.111731 46.051421)"
2280,"VIA PASUBIO","(11.133259 46.059718, 11.133281 46.059853, 11.133343 46.060293)"
3550,"VIA ZARA","(11.133802 46.065005, 11.133727 46.064732)"
7460,"VIA DON TOMMASO DALLAFIOR","(11.153623 46.065136, 11.153068 46.065128, 11.152996 46.065145)"
8803,"VIA STELLA","(11.11152 46.02708, 11.111481 46.026461, 11.111483 46.026043, 11.111513 46.025767, 11.111596 46.025244, 11.111713 46.024535, 11.111774 46.024188, 11.111836 46.023831, 11.111875 46.023628, 11.111884 46.023573, 11.111987 46.022825, 11.112004 46.022546, 11.111986 46.022248, 11.111916 46.02189, 11.111778 46.021491, 11.111678 46.021273, 11.111643 46.021202, 11.111609 46.021149)"
400,"VIA DEL BRENNERO","(11.123616 46.077273, 11.123523 46.077437, 11.123398 46.077655)"
5102,"VIA ALTO ADIGE","(11.106038 46.11947, 11.106528 46.119487, 11.107041 46.119504, 11.10747 46.119519)"
1280,"VIA A. GAZZOLETTI","(11.123647 46.071359, 11.123947 46.071264)"
5260,"VIA PALUDI","(11.108235 46.103065, 11.108239 46.103155, 11.108192 46.103692, 11.10819 46.10371, 11.108183 46.103746, 11.108179 46.103764)"
8464,"VIA M. PEDERZOLLI","(11.116948 46.123398, 11.116945 46.12319, 11.116952 46.123056, 11.116971 46.122989, 11.116989 46.122916, 11.11698 46.122777, 11.116976 46.122745)"
8464,"VIA M. PEDERZOLLI","(11.117887 46.124834, 11.117454 46.124626, 11.117309 46.12453)"
2820,"VIA SAN MARTINO","(11.125385 46.073892, 11.125405 46.07382, 11.125417 46.073766, 11.125429 46.073693)"
2820,"VIA SAN MARTINO","(11.125429 46.073693, 11.12543 46.073675, 11.125447 46.073464, 11.125447 46.073428, 11.125445 46.073396)"
210,"VIA F. BARBACOVI","(11.128094 46.064913, 11.128182 46.064889, 11.128655 46.064763, 11.128886 46.064701, 11.129597 46.064515, 11.130179 46.064367, 11.13029 46.064344, 11.130424 46.064325, 11.131185 46.064293)"
3550,"VIA ZARA","(11.132461 46.064246, 11.131185 46.064293)"
3502,"VIA DEI GIARDINI","(11.132952 46.069629, 11.133045 46.069728, 11.133089 46.069786, 11.133293 46.069943, 11.133353 46.070017, 11.133424 46.070137, 11.133461 46.070304, 11.133577 46.070611, 11.133607 46.070648, 11.13365 46.070671, 11.134146 46.070824, 11.134223 46.070836, 11.134297 46.070839, 11.134719 46.070838, 11.134805 46.070863, 11.134897 46.070904, 11.134985 46.070958, 11.135061 46.071024, 11.13528 46.071143)"
3550,"VIA ZARA","(11.133598 46.064451, 11.133537 46.064416, 11.133466 46.064395, 11.132932 46.06431)"
3550,"VIA ZARA","(11.133727 46.064732, 11.133702 46.064579, 11.13365 46.064495, 11.133598 46.064451)"
1870,"VIA C. MENGUZZATO","(11.132691 46.040436, 11.132808 46.040371, 11.132931 46.040335, 11.132974 46.040313, 11.132993 46.040292, 11.133013 46.039934, 11.133133 46.039738, 11.133232 46.03958, 11.133312 46.039439, 11.133303 46.039161, 11.133316 46.039043, 11.133355 46.03897, 11.133606 46.038533, 11.133607 46.037638)"
6200,"VIA B. KOFLER","(11.142954 46.076089, 11.142482 46.076133, 11.142244 46.07615, 11.142206 46.076148, 11.142147 46.076144)"
0,"","(11.11135 46.020702, 11.111406 46.020693, 11.111445 46.020688, 11.111486 46.020692, 11.111523 46.020699, 11.11156 46.02071, 11.111594 46.020726, 11.111623 46.020745, 11.111645 46.020767, 11.111757 46.020934, 11.111765 46.020952, 11.11177 46.020983, 11.111768 46.021015, 11.111757 46.021042, 11.11174 46.021069, 11.111716 46.021097, 11.111687 46.021118, 11.111649 46.021135, 11.111609 46.021149)"
3350,"CORSO 3 NOVEMBRE","(11.12509 46.060712, 11.124891 46.060608, 11.124742 46.060534, 11.124677 46.060505, 11.124607 46.060469, 11.124653 46.060348, 11.124602 46.060284, 11.124517 46.060252)"
1890,"VIA MILANO","(11.127132 46.060485, 11.127446 46.060641)"
310,"VIA E. BEZZI","(11.119052 46.058835, 11.118969 46.059038, 11.11896 46.059144)"
8013,"VIA DEL DOSSOL","(11.057852 46.075412, 11.057772 46.075081, 11.057741 46.074991, 11.057562 46.074778, 11.057364 46.074533, 11.057289 46.074446, 11.057232 46.074403, 11.057165 46.074384, 11.057107 46.074391, 11.057043 46.074414, 11.05699 46.074438, 11.056915 46.074497, 11.056815 46.074571, 11.056726 46.074634, 11.056645 46.074682, 11.056577 46.074724, 11.0565 46.074748, 11.056429 46.074754, 11.056367 46.07475, 11.05632 46.074738, 11.056293 46.074711, 11.056316 46.074666, 11.056424 46.074542, 11.05647 46.074474, 11.056498 46.07442, 11.056502 46.074362, 11.056489 46.074289, 11.056452 46.074223, 11.056372 46.074161, 11.056276 46.074072, 11.056213 46.073993, 11.056179 46.073908, 11.056171 46.073813, 11.056178 46.073705, 11.0562 46.073642, 11.05626 46.073524, 11.056292 46.073429, 11.056316 46.073298, 11.056377 46.073108, 11.056454 46.072949, 11.056523 46.072814, 11.056561 46.072519, 11.056576 46.072438, 11.056591 46.072393, 11.056634 46.072293, 11.05669 46.072175, 11.056701 46.072001, 11.056743 46.071886, 11.056789 46.071822)"
