lat,lon,number,alfa,zipcode,street
11.0461250893416,46.0774333143433,19,19,38123,Via della Villa di Baselga
11.0453497745546,46.077268244248,20,20,38123,Via della Villa di Baselga
11.0452193855172,46.077238960501,22,22,38123,Via della Villa di Baselga
11.0452601475697,46.0771524338512,24,24,38123,Via della Villa di Baselga
11.0450622909834,46.0771662318734,26,26,38123,Via della Villa di Baselga
11.0451148455932,46.0770240843693,28,28,38123,Via della Villa di Baselga
11.0458553179683,46.0772257309201,29,29,38123,Via della Villa di Baselga
11.0450194443852,46.0768964189849,30,30,38123,Via della Villa di Baselga
11.0456164904971,46.0773165911223,31,31,38123,Via della Villa di Baselga
11.0449745923405,46.0768483125145,32,32,38123,Via della Villa di Baselga
11.0455285765491,46.0772269653037,33,33,38123,Via della Villa di Baselga
11.0448872705896,46.0767552123719,34,34,38123,Via della Villa di Baselga
11.0454659298879,46.0772005574379,35,35,38123,Via della Villa di Baselga
11.0453209317312,46.0771004497862,35,35,38123,Via della Villa di Baselga
11.0454562460129,46.0769811185331,35,35,38123,Via della Villa di Baselga
11.0453844112955,46.0767791815976,39,39,38123,Via della Villa di Baselga
11.0454998415267,46.0768863742935,39,39,38123,Via della Villa di Baselga
11.0462346848786,46.0780497048975,4,4,38123,Via della Villa di Baselga
11.0455912367992,46.0768530521113,41,41,38123,Via della Villa di Baselga
11.0454910627154,46.076818790402,41,41,38123,Via della Villa di Baselga
11.0457370190669,46.0768045520016,43,43,38123,Via della Villa di Baselga
11.045887346156,46.0767515998283,47,47,38123,Via della Villa di Baselga
11.0458412124787,46.0765229804636,49,49,38123,Via della Villa di Baselga
11.0457739976196,46.0765733513252,49,49,38123,Via della Villa di Baselga
11.0452981798271,46.0766124655966,53,53,38123,Via della Villa di Baselga
11.0452422588182,46.0765861519992,55,55,38123,Via della Villa di Baselga
11.0453015434128,46.0764911269191,57,57,38123,Via della Villa di Baselga
11.0453286240068,46.0765441793111,57,57,38123,Via della Villa di Baselga
11.0461585370342,46.0780102298473,6,6,38123,Via della Villa di Baselga
11.0460878578238,46.0779743694464,8,8,38123,Via della Villa di Baselga
11.0452945866991,46.0775277421916,1,1,38123,Via della chiesa
11.0456834388277,46.0778790280976,1,1,38123,Via della chiesa
11.046022180013,46.0780328150971,10,10,38123,Via della chiesa
11.0460928490721,46.0780688358081,12,12,38123,Via della chiesa
11.0461714733161,46.0781069073082,14,14,38123,Via della chiesa
11.04636746986,46.0783899796694,16,16,38123,Via della chiesa
11.0463900269708,46.0785011694908,16,16,38123,Via della chiesa
11.0464786375459,46.078298965837,16,16,38123,Via della chiesa
11.0462764748369,46.078302587887,18,18,38123,Via della chiesa
11.0458926642673,46.0778969550577,2,2,38123,Via della chiesa
11.0458441987765,46.0778221531366,2,2,38123,Via della chiesa
11.0461977581336,46.0782253941635,20,20,38123,Via della chiesa
11.0460920696843,46.0783305285303,24,24,38123,Via della chiesa
11.0458276521334,46.077886056197,4,4,38123,Via della chiesa
11.0450825314473,46.0781911135501,5,5,38123,Via della chiesa
